generation,time_elapsed_s,best_fitness,mean_fitness,max_fitness,diversity_index,immigrant_ratio,rho_SI,rho_MI,best_route,waktu_tempuh,pelanggaran_sla,penalty_cost
1,0.0035970211029052734,1342.799999999981,1881.0849999999748,2078.999999999949,0.2861566595874195,0.07424590063713225,0.49718141620738004,0.5028185837926199,"[2, 1, 3, 4, 5]",1074.5,268.2999999999811,268.2999999999811
2,0.005606174468994141,1342.799999999981,1686.3849999999698,2567.0999999999294,0.20374054560494478,0.08166335089555497,0.49718141620738004,0.5028185837926199,"[2, 1, 3, 4, 5]",1074.5,268.2999999999811,268.2999999999811
3,0.007607936859130859,1342.799999999981,1486.9349999999754,2743.099999999955,0.09693429773325445,0.0912759132040071,0.49718141620738004,0.5028185837926199,"[2, 1, 3, 4, 5]",1074.5,268.2999999999811,268.2999999999811
4,0.00960993766784668,1342.799999999981,1476.859999999982,2715.80000000001,0.09077366845875878,0.09183036983871172,0.49718141620738004,0.5028185837926199,"[2, 1, 3, 4, 5]",1074.5,268.2999999999811,268.2999999999811
5,0.010603904724121094,1342.799999999981,1423.0599999999772,2767.7999999999483,0.05639958961673957,0.09492403693449344,0.49718141620738004,0.5028185837926199,"[2, 1, 3, 4, 5]",1074.5,268.2999999999811,268.2999999999811
6,0.012606382369995117,1342.799999999981,1408.1899999999796,2650.5999999999513,0.04643549521016301,0.09582080543108533,0.49718141620738004,0.5028185837926199,"[2, 1, 3, 4, 5]",1074.5,268.2999999999811,268.2999999999811
7,0.013607263565063477,1342.799999999981,1417.3199999999847,2158.399999999998,0.05257810515621343,0.0952679705359408,0.49718141620738004,0.5028185837926199,"[2, 1, 3, 4, 5]",1074.5,268.2999999999811,268.2999999999811
8,0.015605926513671875,1342.799999999981,1417.2049999999795,2650.6999999999935,0.05250122600470607,0.09527488965957646,0.49718141620738004,0.5028185837926199,"[2, 1, 3, 4, 5]",1074.5,268.2999999999811,268.2999999999811
9,0.017078638076782227,1342.799999999981,1391.909999999984,2273.7999999999956,0.035282453606916696,0.0968245791753775,0.49718141620738004,0.5028185837926199,"[2, 1, 3, 4, 5]",1074.5,268.2999999999811,268.2999999999811
10,0.019084930419921875,1342.799999999981,1426.0549999999812,2321.399999999965,0.058381338728170515,0.09474567951446465,0.49718141620738004,0.5028185837926199,"[2, 1, 3, 4, 5]",1074.5,268.2999999999811,268.2999999999811
11,0.019084930419921875,1342.799999999981,1455.8399999999795,2930.499999999949,0.07764589515331353,0.09301186943620178,0.49718141620738004,0.5028185837926199,"[2, 1, 3, 4, 5]",1074.5,268.2999999999811,268.2999999999811
12,0.019084930419921875,1342.799999999981,1476.1349999999777,2677.2999999999265,0.09032710422827088,0.09187056061945563,0.49718141620738004,0.5028185837926199,"[2, 1, 3, 4, 5]",1074.5,268.2999999999811,268.2999999999811
13,0.019084930419921875,1342.799999999981,1504.7699999999788,3132.6999999999643,0.10763771207559962,0.09031260591319604,0.49718141620738004,0.5028185837926199,"[2, 1, 3, 4, 5]",1074.5,268.2999999999811,268.2999999999811
14,0.019084930419921875,1342.799999999981,1406.1099999999808,2486.4999999999636,0.045024926926058834,0.0959477565766547,0.49718141620738004,0.5028185837926199,"[2, 1, 3, 4, 5]",1074.5,268.2999999999811,268.2999999999811
15,0.019084930419921875,1342.799999999981,1476.8049999999803,2812.6999999999716,0.09073980654182576,0.09183341741123568,0.49718141620738004,0.5028185837926199,"[2, 1, 3, 4, 5]",1074.5,268.2999999999811,268.2999999999811
16,0.019084930419921875,1342.799999999981,1354.7949999999826,1560.300000000021,0.008853738019406358,0.09920316357825343,0.49718141620738004,0.5028185837926199,"[2, 1, 3, 4, 5]",1074.5,268.2999999999811,268.2999999999811
17,0.019084930419921875,1342.799999999981,1436.0099999999825,2579.899999999965,0.06490901873942559,0.0941581883134517,0.49718141620738004,0.5028185837926199,"[2, 1, 3, 4, 5]",1074.5,268.2999999999811,268.2999999999811
18,0.019084930419921875,1342.799999999981,1452.0949999999816,2581.6999999999534,0.07526711406622977,0.09322595973403933,0.49718141620738004,0.5028185837926199,"[2, 1, 3, 4, 5]",1074.5,268.2999999999811,268.2999999999811
19,0.032845497131347656,1342.799999999981,1450.4849999999794,2760.299999999981,0.07424068501225443,0.0933183383488971,0.49718141620738004,0.5028185837926199,"[2, 1, 3, 4, 5]",1074.5,268.2999999999811,268.2999999999811
20,0.032845497131347656,1342.799999999981,1463.1999999999794,3171.399999999958,0.08228540185893929,0.09259431383269547,0.49718141620738004,0.5028185837926199,"[2, 1, 3, 4, 5]",1074.5,268.2999999999811,268.2999999999811
