generation,time_elapsed_s,best_fitness,mean_fitness,max_fitness,diversity_index,immigrant_ratio,rho_SI,rho_MI,best_route,waktu_tempuh,pelanggaran_sla,penalty_cost
1,0.005196809768676758,2761.5999999999804,3431.3949999999836,3785.399999999987,0.19519612285965518,0.08243234894263105,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
2,0.006226778030395508,2761.5999999999804,3401.7649999999885,4610.900000000016,0.18818613278695334,0.0830632480491742,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
3,0.010347843170166016,2761.5999999999804,3102.97999999999,4032.700000000008,0.11001682253833758,0.09009848597154962,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
4,0.012786865234375,2761.5999999999804,2919.1649999999813,5219.800000000007,0.05397605137085472,0.09514215537662309,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
5,0.012786865234375,2761.5999999999804,2812.78999999998,3785.399999999987,0.018199012368502278,0.0983620888868348,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
6,0.015819549560546875,2761.5999999999804,2955.5499999999824,4726.800000000007,0.06562230380132389,0.09409399265788085,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
7,0.019852399826049805,2761.5999999999804,2918.684999999983,4422.299999999999,0.05382047052011533,0.09515615765318963,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
8,0.021869182586669922,2761.5999999999804,2890.2649999999835,4113.0999999999985,0.044516679266435086,0.09599349886602085,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
9,0.02388453483581543,2761.5999999999804,2929.63499999998,5429.1999999999825,0.057356974503649814,0.09483787229467151,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
10,0.02388453483581543,2761.5999999999804,2912.389999999982,4929.799999999996,0.0517753460216531,0.09534021885805122,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
11,0.02589583396911621,2761.5999999999804,2839.004999999983,3609.2000000000153,0.02726483398232904,0.0975461649415904,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
12,0.027909278869628906,2761.5999999999804,2912.7449999999817,5059.900000000016,0.05189091389737236,0.09532981774923649,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
13,0.029921770095825195,2761.5999999999804,2899.9499999999825,4357.5000000000255,0.04770771909860589,0.09570630528112548,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
14,0.031691789627075195,2761.5999999999804,2913.504999999984,5031.700000000023,0.052138232129343945,0.09530755910835904,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
15,0.03370237350463867,2761.5999999999804,2944.869999999982,5049.700000000008,0.06223364698611568,0.09439897177124959,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
16,0.03570961952209473,2761.5999999999804,2862.754999999982,3866.2000000000226,0.03533484353358977,0.09681986408197693,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
17,0.03771638870239258,2761.5999999999804,2956.799999999982,5201.800000000021,0.06601731601731668,0.09405844155844151,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
18,0.03972291946411133,2761.5999999999804,2975.3099999999827,5059.900000000016,0.07182780953917513,0.09353549714147424,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
19,0.041731834411621094,2761.5999999999804,2875.1899999999837,4370.500000000011,0.039506954323019886,0.09644437411092821,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
20,0.043740272521972656,2761.5999999999804,2842.594999999983,3829.700000000008,0.028493330917700982,0.09743560021740691,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
21,0.04574942588806152,2761.5999999999804,2842.2599999999775,3849.3999999999614,0.028378825300991773,0.09744590572291074,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
22,0.04749774932861328,2761.5999999999804,2833.909999999983,3983.400000000034,0.025515983217534313,0.09770356151042192,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
23,0.04749774932861328,2761.5999999999804,2818.4349999999768,3459.99999999996,0.020165446426827646,0.09818510982158551,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
24,0.04950666427612305,2761.5999999999804,2815.9899999999825,3459.100000000013,0.01931469927094984,0.09826167706561452,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
25,0.0515134334564209,2761.5999999999804,2885.6049999999827,4394.100000000006,0.04297365717068091,0.09613237085463873,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
26,0.053519487380981445,2761.5999999999804,2882.2599999999775,4736.4999999999745,0.0418629825206599,0.09623233157314061,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
27,0.053519487380981445,2761.5999999999804,2820.584999999982,3597.6000000000167,0.020912328470867363,0.09811789043762195,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
28,0.057537078857421875,2761.5999999999804,2915.5099999999825,4787.500000000015,0.05279007789374833,0.09524889298956266,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
29,0.059545278549194336,2761.5999999999804,2920.664999999982,4675.400000000005,0.05446191192759251,0.09509842792651668,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
30,0.06055426597595215,2761.5999999999804,2894.734999999983,4726.800000000007,0.04599212017680458,0.0958607091840876,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
31,0.06055426597595215,2761.5999999999804,2862.599999999983,4032.700000000008,0.03528261021449133,0.09682456508069578,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
32,0.06331300735473633,2761.5999999999804,2884.9749999999835,4755.300000000007,0.04276466867130684,0.09615117981958239,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
33,0.06524014472961426,2761.5999999999804,2963.309999999981,5013.999999999978,0.06806915240052555,0.0938737762839527,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
34,0.0672461986541748,2761.5999999999804,2808.794999999978,3314.2999999999593,0.01680257904190137,0.09848776788622887,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
35,0.06925296783447266,2761.5999999999804,2825.2749999999787,3509.6999999999935,0.022537629080354442,0.09797161338276811,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
36,0.07125973701477051,2761.5999999999804,2819.929999999982,3537.9000000000015,0.020684910618349116,0.09813835804434859,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
37,0.07125973701477051,2761.5999999999804,2897.7899999999813,4736.4999999999745,0.046997884594812245,0.0957701903864669,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
38,0.07326531410217285,2761.5999999999804,2945.149999999979,5429.1999999999825,0.062322801894640234,0.09439094782948239,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
39,0.0752718448638916,2761.5999999999804,2986.2249999999826,5541.199999999986,0.07522038694338261,0.09323016517509557,0.5,0.5,"[3, 1, 4, 5, 2]",1596.2999999999956,1165.2999999999847,1165.2999999999847
