generation,time_elapsed_s,best_fitness,mean_fitness,max_fitness,diversity_index,immigrant_ratio,rho_SI,rho_MI,best_route,waktu_tempuh,pelanggaran_sla,penalty_cost
1,0.0,1754.4999999999636,2351.9599999999637,3278.0999999999585,0.25402642902090566,0.0771376213881185,0.5,0.5,"[2, 1, 3, 4, 5]",1363.800000000003,390.6999999999607,390.6999999999607
2,0.0,1748.399999999965,1950.2249999999633,3280.1999999999607,0.10348805907010833,0.09068607468369025,0.5,0.5,"[2, 1, 5, 4, 3]",1357.7000000000044,390.6999999999607,390.6999999999607
3,0.0,1748.399999999965,1882.9549999999642,3331.7999999999665,0.07145948787942448,0.0935686460908518,0.5,0.5,"[2, 1, 5, 4, 3]",1357.7000000000044,390.6999999999607,390.6999999999607
4,0.0,1748.399999999965,1816.0149999999642,2948.899999999958,0.037232621977241614,0.09664906402204826,0.5,0.5,"[2, 1, 5, 4, 3]",1357.7000000000044,390.6999999999607,390.6999999999607
5,0.0,1748.399999999965,1843.4249999999658,2760.0999999999804,0.0515480694902166,0.0953606737458805,0.5,0.5,"[2, 1, 5, 4, 3]",1357.7000000000044,390.6999999999607,390.6999999999607
6,0.07477045059204102,1747.6999999999643,1786.2649999999653,2506.399999999965,0.021589741723653383,0.0980569232448712,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
7,0.07477045059204102,1747.6999999999643,1851.0649999999646,2950.99999999996,0.05584082676729462,0.09497432559094349,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
8,0.07677531242370605,1747.6999999999643,1840.2949999999655,3022.699999999979,0.0503153027096215,0.09547162275613408,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
9,0.0792379379272461,1747.6999999999643,1827.4249999999643,2615.099999999966,0.043626961434806606,0.09607357347086741,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
10,0.08124566078186035,1747.6999999999643,1926.1499999999664,3644.6000000000095,0.09264595176907572,0.09166186434078319,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
11,0.08124566078186035,1747.6999999999643,1824.6649999999638,2566.899999999958,0.04218034543327186,0.09620376891100553,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
12,0.0832517147064209,1747.6999999999643,1849.0199999999647,3022.699999999979,0.05479659495300339,0.0950683064542297,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
13,0.08525896072387695,1747.6999999999643,1911.9949999999644,3501.0999999999694,0.08592857198894513,0.09226642852099494,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
14,0.08525896072387695,1747.6999999999643,1793.929999999964,2637.699999999957,0.025770236296845748,0.09768067873328388,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
15,0.08726620674133301,1747.6999999999643,1859.9749999999651,3426.0999999999876,0.06036371456605754,0.09456726568905482,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
16,0.08927249908447266,1747.6999999999643,1867.6799999999662,3390.0000000000073,0.06424012678831706,0.09421838858905147,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
17,0.08927249908447266,1747.6999999999643,1828.9349999999642,2615.099999999966,0.04441655936378356,0.09600250965725948,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
18,0.09128022193908691,1747.6999999999643,1894.709999999964,3688.7999999999665,0.07758971029867502,0.09301692607311926,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
19,0.09328556060791016,1747.6999999999643,1792.5499999999652,2637.1999999999716,0.025020222587934335,0.09774817996708592,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
20,0.09429025650024414,1747.6999999999643,1816.3899999999637,2568.2999999999593,0.037816768425283524,0.09659649084172449,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
21,0.09429025650024414,1747.6999999999643,1843.0899999999642,3125.5999999999694,0.051755475858477736,0.09534200717273701,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
22,0.09429025650024414,1747.6999999999643,1857.7299999999639,3381.1999999999534,0.05922819785437155,0.09466946219310657,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
23,0.0982670783996582,1747.6999999999643,1793.1699999999648,2622.499999999971,0.02535732808378535,0.09771784047245932,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
24,0.0982670783996582,1747.6999999999643,1908.5799999999654,3501.0999999999694,0.08429303461212206,0.09241362688490902,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
25,0.0982670783996582,1747.6999999999643,1845.754999999966,3599.0,0.053124602127586525,0.09521878580851721,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
26,0.0982670783996582,1747.6999999999643,1901.9949999999656,3344.3999999999614,0.08112271588516479,0.09269895557033517,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
27,0.0982670783996582,1747.6999999999643,1784.1899999999646,2477.4999999999745,0.020451857705738156,0.09815933280648356,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
