generation,time_elapsed_s,best_fitness,mean_fitness,max_fitness,diversity_index,immigrant_ratio,rho_SI,rho_MI,best_route,waktu_tempuh,pelanggaran_sla,penalty_cost
1,0.002007007598876953,1755.1999999999643,2183.3799999999624,3291.4999999999673,0.19610878546107657,0.0823502093085031,0.5,0.5,"[2, 1, 4, 5, 3]",1364.5000000000036,390.6999999999607,390.6999999999607
2,0.006381988525390625,1748.399999999965,1831.939999999963,2746.7999999999593,0.04560193019422012,0.09589582628252019,0.5,0.5,"[2, 1, 5, 4, 3]",1357.7000000000044,390.6999999999607,390.6999999999607
3,0.009925127029418945,1748.399999999965,1914.9349999999663,3475.6999999999753,0.08696639833728255,0.09217302414964457,0.5,0.5,"[2, 1, 5, 4, 3]",1357.7000000000044,390.6999999999607,390.6999999999607
4,0.009925127029418945,1748.399999999965,1835.7799999999647,3361.4999999999673,0.047598296092125056,0.09571615335170874,0.5,0.5,"[2, 1, 5, 4, 3]",1357.7000000000044,390.6999999999607,390.6999999999607
5,0.014173746109008789,1748.399999999965,1913.304999999964,3504.599999999962,0.08618855854137314,0.09224302973127643,0.5,0.5,"[2, 1, 5, 4, 3]",1357.7000000000044,390.6999999999607,390.6999999999607
6,0.014173746109008789,1748.399999999965,1908.1499999999673,3392.80000000001,0.08371983334643765,0.09246521499882061,0.5,0.5,"[2, 1, 5, 4, 3]",1357.7000000000044,390.6999999999607,390.6999999999607
7,0.018700599670410156,1748.399999999965,1877.724999999964,3487.6999999999607,0.06887323756141149,0.09380140861947298,0.5,0.5,"[2, 1, 5, 4, 3]",1357.7000000000044,390.6999999999607,390.6999999999607
8,0.018700599670410156,1748.399999999965,1835.2599999999643,3485.5999999999476,0.04732844392620169,0.09574044004664185,0.5,0.5,"[2, 1, 5, 4, 3]",1357.7000000000044,390.6999999999607,390.6999999999607
9,0.025488615036010742,1748.399999999965,1914.5649999999655,3475.6999999999753,0.08678994967525439,0.09218890452922711,0.5,0.5,"[2, 1, 5, 4, 3]",1357.7000000000044,390.6999999999607,390.6999999999607
10,0.027956724166870117,1748.399999999965,1860.9699999999661,3236.8999999999905,0.06048995953723226,0.0945559036416491,0.5,0.5,"[2, 1, 5, 4, 3]",1357.7000000000044,390.6999999999607,390.6999999999607
11,0.028508663177490234,1748.399999999965,1832.0499999999658,2701.999999999989,0.04565923419120785,0.0958906689227913,0.5,0.5,"[2, 1, 5, 4, 3]",1357.7000000000044,390.6999999999607,390.6999999999607
12,0.03216719627380371,1748.399999999965,1860.939999999967,3236.8999999999905,0.06047481380377873,0.09455726675765992,0.5,0.5,"[2, 1, 5, 4, 3]",1357.7000000000044,390.6999999999607,390.6999999999607
13,0.03216719627380371,1748.399999999965,1867.8149999999653,3227.49999999996,0.06393299122236538,0.09424603078998713,0.5,0.5,"[2, 1, 5, 4, 3]",1357.7000000000044,390.6999999999607,390.6999999999607
14,0.03216719627380371,1747.6999999999643,1750.059999999965,1782.299999999963,0.0013485251934222994,0.099878632732592,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
15,0.0386962890625,1747.6999999999643,1896.0599999999642,3501.0999999999585,0.07824646899359868,0.09295781779057613,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
16,0.0386962890625,1747.6999999999643,1872.7699999999666,3390.0000000000073,0.06678342775674773,0.09398949150189272,0.5,0.5,"[2, 1, 3, 5, 4]",1357.0000000000036,390.6999999999607,390.6999999999607
