generation,individual,cycle,s_before,f_ini,rho_SI_before,rho_MI_before,random,operator,best_neighbor,best_delta,num_neighbors,f_imp,eta,improved,epoch
0,6,0,[2 1 3],781.3999999999978,0.5,0.5,0.4418331744229961,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
0,6,1,[2 1 3],781.3999999999978,0.5,0.5,0.41118254597473414,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
0,6,2,[2 1 3],781.3999999999978,0.5,0.5,0.15115201964256386,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
0,6,3,[2 1 3],781.3999999999978,0.5,0.5,0.07961309015596418,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
0,6,4,[2 1 3],781.3999999999978,0.5,0.5,0.2622156611319503,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
1,0,0,[2 1 3],781.3999999999978,0.5,0.5,0.10461974452285316,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
1,0,1,[2 1 3],781.3999999999978,0.5,0.5,0.09010673472443853,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
1,0,2,[2 1 3],781.3999999999978,0.5,0.5,0.1748138948221194,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
1,0,3,[2 1 3],781.3999999999978,0.5,0.5,0.16578250597291844,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
1,0,4,[2 1 3],781.3999999999978,0.5,0.5,0.8961532323425018,MI,[3 1 2],60.7,10,795.399999999976,0.0,False,0
2,0,0,[2 1 3],781.3999999999978,0.5,0.5,0.28825313879221637,SI,[3 1 2],60.7,10,795.399999999976,0.0,False,0
2,0,1,[2 1 3],781.3999999999978,0.5,0.5,0.1467688142787268,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
2,0,2,[2 1 3],781.3999999999978,0.5,0.5,0.05662820283810621,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
2,0,3,[2 1 3],781.3999999999978,0.5,0.5,0.4820719697228585,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
2,0,4,[2 1 3],781.3999999999978,0.5,0.5,0.3738451243037514,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
3,0,0,[2 1 3],781.3999999999978,0.5,0.5,0.47668497071666194,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
3,0,1,[2 1 3],781.3999999999978,0.5,0.5,0.3678206969289417,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
3,0,2,[2 1 3],781.3999999999978,0.5,0.5,0.18931700678206653,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
3,0,3,[2 1 3],781.3999999999978,0.5,0.5,0.09194928490764764,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
3,0,4,[2 1 3],781.3999999999978,0.5,0.5,0.5035747397173306,MI,[3 1 2],60.7,10,795.399999999976,0.0,False,0
4,0,0,[2 1 3],781.3999999999978,0.5,0.5,0.14285376099015312,SI,[3 1 2],60.7,10,795.399999999976,0.0,False,0
4,0,1,[2 1 3],781.3999999999978,0.5,0.5,0.16681942353739254,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
4,0,2,[2 1 3],781.3999999999978,0.5,0.5,0.10213310731235548,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
4,0,3,[2 1 3],781.3999999999978,0.5,0.5,0.4808350774618174,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
4,0,4,[2 1 3],781.3999999999978,0.5,0.5,0.08343968544371805,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
5,0,0,[2 1 3],781.3999999999978,0.5,0.5,0.22636013801884003,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
5,0,1,[2 1 3],781.3999999999978,0.5,0.5,0.7053755295373548,MI,[3 1 2],60.7,10,795.399999999976,0.0,False,0
5,0,2,[2 1 3],781.3999999999978,0.5,0.5,0.3100221158052946,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
5,0,3,[2 1 3],781.3999999999978,0.5,0.5,0.48167113748966617,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
5,0,4,[2 1 3],781.3999999999978,0.5,0.5,0.03511130299513998,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
6,0,0,[2 1 3],781.3999999999978,0.5,0.5,0.4882657956734827,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
6,0,1,[2 1 3],781.3999999999978,0.5,0.5,0.04744236715872807,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
6,0,2,[2 1 3],781.3999999999978,0.5,0.5,0.012360842571165431,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
6,0,3,[2 1 3],781.3999999999978,0.5,0.5,0.22028493098698365,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
6,0,4,[2 1 3],781.3999999999978,0.5,0.5,0.39241111834607056,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
7,0,0,[2 1 3],781.3999999999978,0.5,0.5,0.0878369290597415,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
7,0,1,[2 1 3],781.3999999999978,0.5,0.5,0.2507770155656568,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
7,0,2,[2 1 3],781.3999999999978,0.5,0.5,0.42969690597633725,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
7,0,3,[2 1 3],781.3999999999978,0.5,0.5,0.12322318180711189,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
7,0,4,[2 1 3],781.3999999999978,0.5,0.5,0.3861489771447273,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
8,0,0,[2 1 3],781.3999999999978,0.5,0.5,0.4078024292661139,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
8,0,1,[2 1 3],781.3999999999978,0.5,0.5,0.30389191833694407,SI,[3 1 2],60.7,10,795.399999999976,0.0,False,0
8,0,2,[2 1 3],781.3999999999978,0.5,0.5,0.30328080175793926,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
8,0,3,[2 1 3],781.3999999999978,0.5,0.5,0.04495448659703871,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
8,0,4,[2 1 3],781.3999999999978,0.5,0.5,0.6384092286500843,MI,[3 1 2],60.7,10,795.399999999976,0.0,False,0
9,0,0,[2 1 3],781.3999999999978,0.5,0.5,0.11573887674353178,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
9,0,1,[2 1 3],781.3999999999978,0.5,0.5,0.44040500270511285,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
9,0,2,[2 1 3],781.3999999999978,0.5,0.5,0.040318989114628945,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
9,0,3,[2 1 3],781.3999999999978,0.5,0.5,0.8176159229732352,MI,[3 1 2],60.7,10,795.399999999976,0.0,False,0
9,0,4,[2 1 3],781.3999999999978,0.5,0.5,0.46406215038482046,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
10,0,0,[2 1 3],781.3999999999978,0.5,0.5,0.16120018724543494,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
10,0,1,[2 1 3],781.3999999999978,0.5,0.5,0.2678516945527597,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
