generation,individual,cycle,s_before,f_ini,rho_SI_before,rho_MI_before,random,operator,best_neighbor,best_delta,num_neighbors,f_imp,eta,improved,epoch
0,7,0,[2 1 3],781.3999999999978,0.5,0.5,0.49428976771790756,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
0,7,1,[2 1 3],781.3999999999978,0.5,0.5,0.34161365267110966,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
0,7,2,[2 1 3],781.3999999999978,0.5,0.5,0.16922544658417793,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
0,7,3,[2 1 3],781.3999999999978,0.5,0.5,0.39393329495204155,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
0,7,4,[2 1 3],781.3999999999978,0.5,0.5,0.22938596022690405,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
1,0,0,[2 1 3],781.3999999999978,0.5,0.5,0.14521035588434394,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
1,0,1,[2 1 3],781.3999999999978,0.5,0.5,0.4323890954448474,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
1,0,2,[2 1 3],781.3999999999978,0.5,0.5,0.1535656706576053,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
1,0,3,[2 1 3],781.3999999999978,0.5,0.5,0.38166258116131146,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
1,0,4,[2 1 3],781.3999999999978,0.5,0.5,0.09754807403222865,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
2,0,0,[2 1 3],781.3999999999978,0.5,0.5,0.10174481096338206,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
2,0,1,[2 1 3],781.3999999999978,0.5,0.5,0.3658865677278549,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
2,0,2,[2 1 3],781.3999999999978,0.5,0.5,0.6908600509363257,MI,[3 1 2],60.7,10,795.399999999976,0.0,False,0
2,0,3,[2 1 3],781.3999999999978,0.5,0.5,0.3373682942964583,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
2,0,4,[2 1 3],781.3999999999978,0.5,0.5,0.39340421708411755,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
3,0,0,[2 1 3],781.3999999999978,0.5,0.5,0.23456125065508104,SI,[3 1 2],60.7,10,795.399999999976,0.0,False,0
3,0,1,[2 1 3],781.3999999999978,0.5,0.5,0.03578497723646423,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
3,0,2,[2 1 3],781.3999999999978,0.5,0.5,0.06709854593106523,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
3,0,3,[2 1 3],781.3999999999978,0.5,0.5,0.4616077373974167,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
3,0,4,[2 1 3],781.3999999999978,0.5,0.5,0.20797501638302762,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
4,0,0,[2 1 3],781.3999999999978,0.5,0.5,0.341327945114709,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
4,0,1,[2 1 3],781.3999999999978,0.5,0.5,0.2645396086481623,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
4,0,2,[2 1 3],781.3999999999978,0.5,0.5,0.47430511575474943,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
4,0,3,[2 1 3],781.3999999999978,0.5,0.5,0.42820539203424546,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
4,0,4,[2 1 3],781.3999999999978,0.5,0.5,0.12156159925168775,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
5,0,0,[2 1 3],781.3999999999978,0.5,0.5,0.19825257475242597,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
5,0,1,[2 1 3],781.3999999999978,0.5,0.5,0.2601976662082943,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
5,0,2,[2 1 3],781.3999999999978,0.5,0.5,0.0020622395380576197,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
5,0,3,[2 1 3],781.3999999999978,0.5,0.5,0.5340145855450225,MI,[3 1 2],60.7,10,795.399999999976,0.0,False,0
5,0,4,[2 1 3],781.3999999999978,0.5,0.5,0.11253546830774153,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
6,0,0,[2 1 3],781.3999999999978,0.5,0.5,0.4404122510613695,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
6,0,1,[2 1 3],781.3999999999978,0.5,0.5,0.15994804417719277,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
6,0,2,[2 1 3],781.3999999999978,0.5,0.5,0.38071717161081564,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
6,0,3,[2 1 3],781.3999999999978,0.5,0.5,0.29085577905434956,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
6,0,4,[2 1 3],781.3999999999978,0.5,0.5,0.4113272383679457,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
7,0,0,[2 1 3],781.3999999999978,0.5,0.5,0.1967876371825612,SI,[3 1 2],60.7,10,795.399999999976,0.0,False,0
7,0,1,[2 1 3],781.3999999999978,0.5,0.5,0.7516521934862975,MI,[3 1 2],60.7,10,795.399999999976,0.0,False,0
7,0,2,[2 1 3],781.3999999999978,0.5,0.5,0.909826096046766,MI,[3 1 2],60.7,10,795.399999999976,0.0,False,0
7,0,3,[2 1 3],781.3999999999978,0.5,0.5,0.7530254938366172,MI,[3 1 2],60.7,10,795.399999999976,0.0,False,0
7,0,4,[2 1 3],781.3999999999978,0.5,0.5,0.3083035226124192,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
8,0,0,[2 1 3],781.3999999999978,0.5,0.5,0.18007992458715616,SI,[3 1 2],60.7,10,795.399999999976,0.0,False,0
8,0,1,[2 1 3],781.3999999999978,0.5,0.5,0.0648022288327591,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
8,0,2,[2 1 3],781.3999999999978,0.5,0.5,0.93178863373081,MI,[3 1 2],60.7,10,795.399999999976,0.0,False,0
8,0,3,[2 1 3],781.3999999999978,0.5,0.5,0.32669362474231844,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
8,0,4,[2 1 3],781.3999999999978,0.5,0.5,0.48813529193586647,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
9,0,0,[2 1 3],781.3999999999978,0.5,0.5,0.4902183892077625,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
9,0,1,[2 1 3],781.3999999999978,0.5,0.5,0.2971707938978475,SI,[2 3 1],17.30000000000001,10,795.1999999999971,0.0,False,0
